"nazwa_normalizowana";"warianty_nazw";"liczba_wystapien";"suma_wydano";"pierwszy_miesiac";"ostatni_miesiac";"proponowana_kategoria";"uwagi"
"jedzenie";"jedzenie | Jedzenie";"54";"25473,95";"2023-12";"2026-05";"";""
"paliwo";"paliwo | Paliwo";"31";"22598,99";"2023-12";"2026-05";"";""
"auto new";"auto new";"17";"18730";"2024-12";"2026-04";"";""
"rata";"Rata";"4";"12620";"2023-12";"2024-04";"";""
"kieszkonkowe d";"Kieszkonkowe D";"18";"11338,55";"2024-12";"2026-05";"";""
"auto";"auto | Auto";"29";"11213,12";"2023-12";"2026-05";"";""
"gaz";"Gaz";"29";"8115";"2023-12";"2026-05";"";""
"kieszonkowe";"Kieszonkowe";"15";"6700";"2023-12";"2024-11";"";""
"dom";"Dom";"19";"6621,5";"2024-07";"2026-04";"";""
"przedszkole";"Przedszkole";"6";"5001";"2023-12";"2024-05";"";""
"poduszka finansowa";"Poduszka finansowa";"6";"3000";"2025-12";"2026-05";"";""
"oszczednosci";"Oszczędności";"6";"2985,12";"2023-12";"2024-06";"";""
"rozne";"rozne | Różne";"29";"2849,67";"2023-12";"2026-04";"";""
"komputer";"Komputer";"4";"2700";"2023-12";"2024-03";"";""
"internet";"internet | Internet";"25";"2095";"2024-05";"2026-05";"";""
"opony";"Opony";"4";"1600";"2024-07";"2024-10";"";""
"kot";"Kot";"4";"1245";"2023-12";"2024-05";"";""
"siłka";"Siłka";"4";"1200";"2025-12";"2026-03";"";""
"telefon";"telefon | Telefon";"29";"1050";"2023-12";"2026-04";"";""
"revolut";"revolut | Revolut";"19";"1046";"2023-12";"2025-06";"";""
"naprawa auta";"naprawa Auta";"2";"1000";"2024-10";"2024-11";"";""
"fryzjer";"fryzjer | Fryzjer";"19";"940";"2024-08";"2026-05";"";""
"woda";"Woda";"17";"920";"2024-01";"2026-04";"";""
"cookidoo";"Cookidoo";"4";"804";"2024-01";"2024-04";"";""
"prad";"prąd | Prąd";"9";"776";"2024-02";"2026-04";"";""
"lekarz";"Lekarz";"3";"700";"2024-02";"2024-07";"";""
"cookido";"cookido | Cookido";"3";"599";"2024-01";"2026-01";"";""
"sanok";"sanok | Sanok";"4";"430";"2025-07";"2025-10";"";""
"dług";"Dług";"3";"400";"2023-12";"2024-02";"";""
"zabawowe";"Zabawowe";"1";"400";"2024-02";"2024-02";"";""
"smieci";"Śmieci";"3";"384";"2023-12";"2024-02";"";""
"internety";"Internety";"5";"375";"2023-12";"2024-04";"";""
"tv";"Tv | tv | TV";"4";"325";"2024-01";"2024-12";"";""
"youtube";"youtube | Youtube";"4";"317";"2024-01";"2026-01";"";""
"cinek";"Cinek";"1";"300";"2024-08";"2024-08";"";""
"mama bukiet";"Mama Bukiet";"2";"289";"2025-12";"2026-04";"";""
"prezent rodzice";"Prezent rodzice";"1";"261";"2024-09";"2024-09";"";""
"dzieci";"Dzieci";"2";"247";"2023-12";"2024-02";"";""
"mikołaj";"Mikołaj | mikołaj";"2";"240";"2024-11";"2024-12";"";""
"reszta";"reszta";"1";"233";"2024-06";"2024-06";"";""
"olejki";"olejki";"1";"185";"2024-02";"2024-02";"";""
"apteka";"Apteka";"2";"146";"2023-12";"2024-02";"";""
"szmatki";"Szmatki";"2";"138";"2025-07";"2025-10";"";""
"izba";"Izba";"3";"132";"2023-12";"2024-02";"";""
"uro barti";"URO BARTI";"1";"105";"2025-10";"2025-10";"";""
"mieszkanie";"Mieszkanie";"1";"100";"2024-02";"2024-02";"";""
"swieta";"Święta";"1";"100";"2024-02";"2024-02";"";""
"sylwek";"sylwek";"1";"100";"2024-11";"2024-11";"";""
"wieniec";"Wieniec";"1";"80";"2024-12";"2024-12";"";""
"zaległosci";"Zaległości";"1";"78";"2025-01";"2025-01";"";""
"prezenty";"Prezenty";"1";"75";"2024-02";"2024-02";"";""
"mateusz";"Mateusz";"1";"70";"2026-02";"2026-02";"";""
"chemia";"Chemia";"1";"67";"2024-02";"2024-02";"";""
"kamis + myjnia";"kamis + myjnia";"1";"65";"2024-04";"2024-04";"";""
"gumki 52";"Gumki 52";"1";"52";"2024-08";"2024-08";"";""
"gumki";"gumki";"1";"51";"2025-09";"2025-09";"";""
"ostrza";"Ostrza";"1";"50";"2025-12";"2025-12";"";""
"truskawki";"Truskawki";"1";"50";"2025-06";"2025-06";"";""
"znicze";"Znicze";"1";"50";"2025-10";"2025-10";"";""
"dudek";"dudek";"1";"49";"2025-04";"2025-04";"";""
"ladowarka";"ladowarka";"1";"49";"2025-09";"2025-09";"";""
"pralnia";"Pralnia";"1";"31";"2024-02";"2024-02";"";""
"netflix";"netflix";"1";"23";"2024-10";"2024-10";"";""
"konkursy";"konkursy";"1";"20";"2025-10";"2025-10";"";""
"wojtek";"Wojtek";"1";"8";"2025-03";"2025-03";"";""
