"nazwa_normalizowana";"warianty_nazw";"liczba_wystapien";"suma_wydano";"pierwszy_miesiac";"ostatni_miesiac";"proponowana_kategoria";"uwagi"
"jedzenie";"jedzenie | Jedzenie";"54";"25473,95";"2023-12";"2026-05";"Jedzenie";""
"paliwo";"paliwo | Paliwo";"31";"22598,99";"2023-12";"2026-05";"Auto i transport";""
"auto new";"auto new";"17";"18730";"2024-12";"2026-04";"Auto i transport";""
"rata";"Rata";"4";"12620";"2023-12";"2024-04";"Zobowiązania";""
"kieszkonkowe d";"Kieszkonkowe D";"18";"11338,55";"2024-12";"2026-05";"Kieszonkowe";""
"auto";"auto | Auto";"29";"11213,12";"2023-12";"2026-05";"Auto i transport";""
"gaz";"Gaz";"29";"8115";"2023-12";"2026-05";"Rachunki i media";""
"kieszonkowe";"Kieszonkowe";"15";"6700";"2023-12";"2024-11";"Kieszonkowe";""
"dom";"Dom";"19";"6621,5";"2024-07";"2026-04";"Dom i mieszkanie";""
"przedszkole";"Przedszkole";"6";"5001";"2023-12";"2024-05";"Dzieci";""
"poduszka finansowa";"Poduszka finansowa";"6";"3000";"2025-12";"2026-05";"Oszczędności";""
"oszczednosci";"Oszczędności";"6";"2985,12";"2023-12";"2024-06";"Oszczędności";""
"rozne";"rozne | Różne";"29";"2849,67";"2023-12";"2026-04";"Różne";""
"komputer";"Komputer";"4";"2700";"2023-12";"2024-03";"Elektronika i sprzęt";""
"internet";"internet | Internet";"25";"2095";"2024-05";"2026-05";"Rachunki i media";""
"opony";"Opony";"4";"1600";"2024-07";"2024-10";"Auto i transport";""
"kot";"Kot";"4";"1245";"2023-12";"2024-05";"Zwierzęta";""
"siłka";"Siłka";"4";"1200";"2025-12";"2026-03";"Zdrowie i sport";""
"telefon";"telefon | Telefon";"29";"1050";"2023-12";"2026-04";"Rachunki i media";""
"revolut";"revolut | Revolut";"19";"1046";"2023-12";"2025-06";"Opłaty bankowe";"Do sprawdzenia: założone jako opłata bankowa/usługa."
"naprawa auta";"naprawa Auta";"2";"1000";"2024-10";"2024-11";"Auto i transport";""
"fryzjer";"fryzjer | Fryzjer";"19";"940";"2024-08";"2026-05";"Uroda i fryzjer";""
"woda";"Woda";"17";"920";"2024-01";"2026-04";"Rachunki i media";""
"cookidoo";"Cookidoo";"4";"804";"2024-01";"2024-04";"Subskrypcje i usługi cyfrowe";""
"prad";"prąd | Prąd";"9";"776";"2024-02";"2026-04";"Rachunki i media";""
"lekarz";"Lekarz";"3";"700";"2024-02";"2024-07";"Zdrowie";""
"cookido";"cookido | Cookido";"3";"599";"2024-01";"2026-01";"Subskrypcje i usługi cyfrowe";""
"sanok";"sanok | Sanok";"4";"430";"2025-07";"2025-10";"Wyjazdy i okazje";"Do sprawdzenia: nie wiem czy to wyjazd, paliwo czy inny koszt."
"dług";"Dług";"3";"400";"2023-12";"2024-02";"Zobowiązania";""
"zabawowe";"Zabawowe";"1";"400";"2024-02";"2024-02";"Dzieci";""
"smieci";"Śmieci";"3";"384";"2023-12";"2024-02";"Rachunki i media";""
"internety";"Internety";"5";"375";"2023-12";"2024-04";"Rachunki i media";""
"tv";"Tv | tv | TV";"4";"325";"2024-01";"2024-12";"Subskrypcje i usługi cyfrowe";""
"youtube";"youtube | Youtube";"4";"317";"2024-01";"2026-01";"Subskrypcje i usługi cyfrowe";""
"cinek";"Cinek";"1";"300";"2024-08";"2024-08";"Różne";"Do sprawdzenia: nazwa osoby/skrótu."
"mama bukiet";"Mama Bukiet";"2";"289";"2025-12";"2026-04";"Prezenty i okazje";""
"prezent rodzice";"Prezent rodzice";"1";"261";"2024-09";"2024-09";"Prezenty i okazje";""
"dzieci";"Dzieci";"2";"247";"2023-12";"2024-02";"Dzieci";""
"mikołaj";"Mikołaj | mikołaj";"2";"240";"2024-11";"2024-12";"Prezenty i okazje";""
"reszta";"reszta";"1";"233";"2024-06";"2024-06";"Różne";"Do sprawdzenia: ogólna reszta."
"olejki";"olejki";"1";"185";"2024-02";"2024-02";"Zdrowie";"Do sprawdzenia: założone jako zdrowie."
"apteka";"Apteka";"2";"146";"2023-12";"2024-02";"Zdrowie";""
"szmatki";"Szmatki";"2";"138";"2025-07";"2025-10";"Dom i środki czystości";""
"izba";"Izba";"3";"132";"2023-12";"2024-02";"Opłaty i instytucje";""
"uro barti";"URO BARTI";"1";"105";"2025-10";"2025-10";"Prezenty i okazje";""
"mieszkanie";"Mieszkanie";"1";"100";"2024-02";"2024-02";"Dom i mieszkanie";""
"swieta";"Święta";"1";"100";"2024-02";"2024-02";"Prezenty i okazje";""
"sylwek";"sylwek";"1";"100";"2024-11";"2024-11";"Prezenty i okazje";""
"wieniec";"Wieniec";"1";"80";"2024-12";"2024-12";"Prezenty i okazje";""
"zaległosci";"Zaległości";"1";"78";"2025-01";"2025-01";"Zobowiązania";""
"prezenty";"Prezenty";"1";"75";"2024-02";"2024-02";"Prezenty i okazje";""
"mateusz";"Mateusz";"1";"70";"2026-02";"2026-02";"Różne";"Do sprawdzenia: nazwa osoby/skrótu."
"chemia";"Chemia";"1";"67";"2024-02";"2024-02";"Dom i środki czystości";""
"kamis + myjnia";"kamis + myjnia";"1";"65";"2024-04";"2024-04";"Auto i transport";"Do sprawdzenia: założone jako auto/myjnia."
"gumki 52";"Gumki 52";"1";"52";"2024-08";"2024-08";"Dzieci";"Do sprawdzenia: założone jako dzieci."
"gumki";"gumki";"1";"51";"2025-09";"2025-09";"Dzieci";"Do sprawdzenia: założone jako dzieci."
"ostrza";"Ostrza";"1";"50";"2025-12";"2025-12";"Dom i środki czystości";""
"truskawki";"Truskawki";"1";"50";"2025-06";"2025-06";"Jedzenie";""
"znicze";"Znicze";"1";"50";"2025-10";"2025-10";"Prezenty i okazje";""
"dudek";"dudek";"1";"49";"2025-04";"2025-04";"Różne";"Do sprawdzenia: nazwa osoby/skrótu."
"ladowarka";"ladowarka";"1";"49";"2025-09";"2025-09";"Elektronika i sprzęt";""
"pralnia";"Pralnia";"1";"31";"2024-02";"2024-02";"Dom i środki czystości";""
"netflix";"netflix";"1";"23";"2024-10";"2024-10";"Subskrypcje i usługi cyfrowe";""
"konkursy";"konkursy";"1";"20";"2025-10";"2025-10";"Dzieci";""
"wojtek";"Wojtek";"1";"8";"2025-03";"2025-03";"Różne";"Do sprawdzenia: nazwa osoby/skrótu."
