"kategoria";"liczba_pozycji";"suma_wydano";"unikalne_nazwy"
"Auto i transport";"84";"55207,11";"auto | auto new | kamis + myjnia | naprawa auta | opony | paliwo"
"Jedzenie";"55";"25523,95";"jedzenie | truskawki"
"Kieszonkowe";"33";"18038,55";"kieszkonkowe d | kieszonkowe"
"Rachunki i media";"117";"13715";"gaz | internet | internety | prad | smieci | telefon | woda"
"Zobowiązania";"8";"13098";"dług | rata | zaległosci"
"Dom i mieszkanie";"20";"6721,5";"dom | mieszkanie"
"Oszczędności";"12";"5985,12";"oszczednosci | poduszka finansowa"
"Dzieci";"12";"5771";"dzieci | gumki | gumki 52 | konkursy | przedszkole | zabawowe"
"Różne";"34";"3509,67";"cinek | dudek | mateusz | reszta | rozne | wojtek"
"Elektronika i sprzęt";"5";"2749";"komputer | ladowarka"
"Subskrypcje i usługi cyfrowe";"16";"2068";"cookido | cookidoo | netflix | tv | youtube"
"Prezenty i okazje";"11";"1300";"mama bukiet | mikołaj | prezent rodzice | prezenty | swieta | sylwek | uro barti | wieniec | znicze"
"Zwierzęta";"4";"1245";"kot"
"Zdrowie i sport";"4";"1200";"siłka"
"Opłaty bankowe";"19";"1046";"revolut"
"Zdrowie";"6";"1031";"apteka | lekarz | olejki"
"Uroda i fryzjer";"19";"940";"fryzjer"
"Wyjazdy i okazje";"4";"430";"sanok"
"Dom i środki czystości";"5";"286";"chemia | ostrza | pralnia | szmatki"
"Opłaty i instytucje";"3";"132";"izba"
